province,city,county,communitys,_merge,level,date
湖南省,张家界市,永定区,官黎坪街道黄金塔社区,new,high,2021-08-19
湖南省,张家界市,永定区,子午路以南、迎宾路以西、澧水河以北、大桥路以东合围区域,new,high,2021-08-19
湖南省,张家界市,永定区,子午路以南、大桥路以西、大庸路以东合围区域,new,high,2021-08-19
上海市,上海市,浦东新区,川沙新镇川环南路1049弄界龙花苑小区,removed,middle,2021-08-19
上海市,上海市,浦东新区,盐朝公路798号锦江之星（东海镇店）,removed,middle,2021-08-19
湖南省,张家界市,永定区,官黎坪街道（除官黎坪社区、龙门社区外）,removed,middle,2021-08-19
北京市,昌平区,龙泽园街道,龙跃苑二区,new,middle,2021-08-19
江苏省,南京市,江宁区,禄口街道,new,middle,2021-08-19
河南省,郑州市,二七区,嵩山路街道望江居社区,new,middle,2021-08-19
河南省,郑州市,金水区,未来路街道燕庄广场郑州地铁6号线施工工地,new,middle,2021-08-19
河南省,郑州市,新郑市,孟庄镇鸡王社区,new,middle,2021-08-19
河南省,郑州市,经开区,明湖办事处第二大街教学研究室家属院,new,middle,2021-08-19
湖南省,张家界市,永定区,沙堤街道,new,middle,2021-08-19
湖南省,张家界市,永定区,官黎坪街道（除黄金塔社区、官黎坪社区、龙门社区外）,new,middle,2021-08-19
